Date,Committee,Hearing Title,Time,Link,Code
"Thursday, February 14, 2013","Subcommittee on Early Childhood, Elementary, and Secondary Education (Committee on Education and Labor)",Raising the Bar  How Education Innovation Can Improve Student Achievement,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100245,ED14
"Thursday, February 14, 2013","Subcommittee on Environment (Committee on Science, Space, and Technology)",The State of the Environment: Evaluating Progress and Priorities,10:10 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100271,SY18
"Thursday, February 14, 2013",Subcommittee on Health (Committee on Energy and Commerce),"SGR: Data, Measures, and Models; Building a Future Medicare Physician Payment System",10:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100265,IF14
"Thursday, February 14, 2013",Committee on Oversight and Government Reform,Full Committee Business Meeting,10:15 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100251,GO00
"Thursday, February 14, 2013",Committee on Oversight and Government Reform,Exploring GAOs High Risk List and Opportunities for Reform,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100250,GO00
"Thursday, February 14, 2013","Subcommittee on Energy Policy, Health Care and Entitlements (Committee on Oversight and Reform)",OGR  The Effects of Rising Energy Costs on American Families and Employers ,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100252,GO27
"Thursday, February 14, 2013","Subcommittee on Research (Committee on Science, Space, and Technology)",Applications for Information Technology Research & Development,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100274,SY15
"Thursday, February 14, 2013","Subcommittee on Economic Growth, Job Creation and Regulatory Affairs (Committee on Oversight and Reform)",Unintended Consequences: Is Government Effectively Addressing the Unemployment Crisis?,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100264,GO28
"Friday, February 15, 2013",Subcommittee on Oversight and Management Efficiency (Committee on Homeland Security), Assessing DHS 10 Years Later: How Wisely is DHS Spending Taxpayer Dollars ?,9:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100263,HM09
"Friday, February 15, 2013",Subcommittee on Environment and the Economy (Committee on Energy and Commerce),The Role of the States in Protecting the Environment Under Current Law,9:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100242,IF18
"Friday, February 15, 2013","Subcommittee on Oversight (Committee on Science, Space, and Technology)",Operating Unmanned Aircraft Systems in the National Airspace System: Assessing Research and Development Efforts to Ensure Safety,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100272,SY21
"Tuesday, February 26, 2013",Subcommittee on Energy and Power (Committee on Energy and Commerce),American Energy Security and Innovation: An Assessment of Private-Sector Successes and Opportunities in Energy Efficient Technologies,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100307,IF03
"Tuesday, February 26, 2013",Committee on Ways and Means,Markup of: Committee on Ways and Means Views and Estimates Submission Letter,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100366,WM00
"Tuesday, February 26, 2013",Subcommittee on Public Lands and Environmental Regulation (Committee on Natural Resources),"Oversight hearing on  State Forest Management: A Model for Promoting Healthy Forests, Rural Schools and Jobs. ",10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100302,II10
"Tuesday, February 26, 2013","Subcommittee on Economic Growth, Job Creation and Regulatory Affairs (Committee on Oversight and Reform)",Bailout Rewards: The Treasury Departments Continued Approval of Excessive Pay for Executives at Taxpayer-Funded Companies.,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100311,GO28
"Tuesday, February 26, 2013","Subcommittee on Regulatory Reform, Commercial and Antitrust Law (Committee on the Judiciary)",Competition and Bankruptcy in the Airline Industry: The Proposed Merger of American Airlines and US Airways,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100327,JU05
"Tuesday, February 26, 2013","Subcommittee on Technology (Committee on Science, Space, and Technology)",Cyber R&D Challenges and Solutions,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100317,SY15
"Tuesday, February 26, 2013",Committee on Agriculture,To consider the Budget Views and Estimates Letter of the Committee on Agriculture for the agencies and programs under jurisdiction of the Committee for FY 2014,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100340,AG00
"Tuesday, February 26, 2013",Subcommittee on Higher Education and Workforce Training (Committee on Education and Labor),Putting America Back to Work:  Reforming the Nations Workforce Investment System,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100301,ED13
"Tuesday, February 26, 2013",Subcommittee on Legislative Branch (Committee on Appropriations),Government Accountability Office Budget,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100283,AP24
"Thursday, February 28, 2013",Committee on Veterans Affairs,Joint House and Senate Committee on Veterans Affairs to receive Legislative Presentation of Multiple Veteran Service Organizations (VSOs),10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100169,VR00
"Tuesday, February 26, 2013",Subcommittee on Defense (Committee on Appropriations),Department of Defense Fiscal Challenges,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100281,AP02
"Tuesday, March 5, 2013",Committee on Agriculture,To review the state of the rural economy,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100270,AG00
"Tuesday, February 26, 2013",Subcommittee on Border and Maritime Security (Committee on Homeland Security), What Does a Secure Border Look Like ?,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100300,HM11
"Tuesday, February 26, 2013",Committee on Financial Services,the Committee s budget views and estimates for fiscal year 2014,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100373,BA00
"Tuesday, February 26, 2013",Subcommittee on Coast Guard and Maritime Transportation (Committee on Transportation and Infrastructure),Coast Guard Mission Balance,10:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100371,PW07
"Tuesday, February 26, 2013",Committee on Ways and Means,Subcommittee on Health Organizational Meeting,10:20 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100365,WM00
"Tuesday, February 26, 2013",Committee on Ways and Means,Chairman Brady Announces Hearing on Examining Traditional Medicare s Benefit Design,10:30 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100309,WM00
"Tuesday, February 26, 2013",Subcommittee on Legislative Branch (Committee on Appropriations),Government Printing Office Budget,11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100284,AP24
"Tuesday, February 26, 2013",Subcommittee on the Middle East and North Africa (Committee on Foreign Affairs),"Demonstrations in Tahrir Square: Two Years Later, What Has Changed?",11:00 AM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100313,FA13
"Tuesday, February 26, 2013","Subcommittee on Energy and Water Development, and Related Agencies (Committee on Appropriations)",Nuclear Nonproliferation and Naval Reactors Budget,1:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100282,AP10
"Tuesday, February 26, 2013",Subcommittee on Oversight and Investigations (Committee on Armed Services),"The Quadrennial Defense Review: Process, Policy, and Perspectives",2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100299,AS06
"Tuesday, February 26, 2013",Committee on Veterans Affairs,Joint House and Senate Committee on Veterans Affairs to receive Legislative Presentation of the Disabled American Veterans (DAV),2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100168,VR00
"Tuesday, February 26, 2013",Subcommittee on Asia and the Pacific (Committee on Foreign Affairs),The Rebalance to Asia: Why South Asia Matters (Part I),2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100306,FA05
"Tuesday, February 26, 2013","Subcommittee on Environment (Committee on Science, Space, and Technology)",Mid-Level Ethanol Blends: Consumer and Technical Research Needs,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100310,SY18
"Tuesday, February 26, 2013",Subcommittee on Immigration and Border Security (Committee on the Judiciary),Agricultural Labor: From H-2A to a Workable Agricultural Guestworker Program,2:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100326,JU01
"Tuesday, February 26, 2013",Subcommittee on Social Security (Committee on Ways and Means),Subcommittee on Social Security Organizational Meeting,2:30 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100367,WM01
"Tuesday, February 26, 2013",Committee on Rules,S. 47 Violence Against Women Reauthorization Act of 2013,3:00 PM,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=100361,RU00
