MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 Karen  Bass,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
 David N. Cicilline,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
 Ted  Lieu,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
 Steve  Chabot,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
 F. James Sensenbrenner,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
 Ken  Buck,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
 Guy  Reschenthaler,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,JU00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108838,"Wednesday, February 6, 2019"
 Jim  Costa,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108836,"Wednesday, February 6, 2019"
 John R. Curtis,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108836,"Wednesday, February 6, 2019"
 William R. Keating,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108835,"Wednesday, February 6, 2019"
 Chrissy  Houlahan,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108835,"Wednesday, February 6, 2019"
 Joe  Wilson,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,AS00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108835,"Wednesday, February 6, 2019"
 Eliot L. Engel,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,IF14,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108843,"Wednesday, February 6, 2019"
 Joaquin  Castro,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108840,"Wednesday, February 6, 2019"
 Susan  Wild,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108840,"Wednesday, February 6, 2019"
 Ilhan  Omar,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108840,"Wednesday, February 6, 2019"
 Andy  Levin,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108840,"Wednesday, February 6, 2019"
 David J. Trone,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108840,"Wednesday, February 6, 2019"
 Ron  Wright,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,ED00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108840,"Wednesday, February 6, 2019"
 Adriano  Espaillat,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108909,"Wednesday, February 6, 2019"
 Chrissy  Houlahan,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108909,"Wednesday, February 6, 2019"
 Steve  Chabot,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108909,"Wednesday, February 6, 2019"
 Tim  Burchett,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108909,"Wednesday, February 6, 2019"
 Adriano  Espaillat,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108907,"Wednesday, February 6, 2019"
 Chrissy  Houlahan,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108907,"Wednesday, February 6, 2019"
 Steve  Chabot,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108907,"Wednesday, February 6, 2019"
 Tim  Burchett,FA00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108861,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108907,"Wednesday, February 6, 2019"
 Bonnie  Watson Coleman,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108858,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108857,"Wednesday, February 6, 2019"
 Mike  Quigley,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108857,IG00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108866,"Wednesday, February 6, 2019"
 Chris  Stewart,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108857,IG00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108866,"Wednesday, February 6, 2019"
 Brenda L. Lawrence,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108857,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108837,"Wednesday, February 6, 2019"
 Donald S. Beyer,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,SY00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108888,"Wednesday, February 6, 2019"
 Terri A. Sewell,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,IG00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108866,"Wednesday, February 6, 2019"
 Devin  Nunes,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,IG00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108866,"Wednesday, February 6, 2019"
 Brad R. Wenstrup,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,IG00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108866,"Wednesday, February 6, 2019"
 Jimmy  Gomez,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108837,"Wednesday, February 6, 2019"
 Steven  Horsford,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,II00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108836,"Wednesday, February 6, 2019"
 Judy  Chu,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108909,"Wednesday, February 6, 2019"
 Dwight  Evans,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108909,"Wednesday, February 6, 2019"
 Bradley Scott Schneider,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108909,"Wednesday, February 6, 2019"
 Judy  Chu,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108907,"Wednesday, February 6, 2019"
 Dwight  Evans,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108907,"Wednesday, February 6, 2019"
 Bradley Scott Schneider,WM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108921,SM00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108907,"Wednesday, February 6, 2019"
 Ralph  Norman,SY00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108888,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108837,"Wednesday, February 6, 2019"
 Michael  Cloud,SY00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108888,GO00,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108837,"Wednesday, February 6, 2019"
