MC,Hearing 1 Code,Hearing 1 Link,Hearing 2 Code,Hearing 2 Link,Date
 Jake Ellzey,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115414,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115403,"Thursday, March 9, 2023"
 Betty McCollum,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115414,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115403,"Thursday, March 9, 2023"
 Derek Kilmer,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115414,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115403,"Thursday, March 9, 2023"
 Guy Reschenthaler,AP06,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115414,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115434,"Thursday, March 9, 2023"
 Russell Fry,GO27,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115453,GO24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115454,"Thursday, March 9, 2023"
 Eric Burlison,GO27,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115453,GO24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115454,"Thursday, March 9, 2023"
 Greg Casar,GO27,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115453,GO24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115454,"Thursday, March 9, 2023"
 Summer L. Lee,GO27,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115453,GO24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115454,"Thursday, March 9, 2023"
 Jasmine Crockett,GO27,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115453,GO24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115454,"Thursday, March 9, 2023"
 Eleanor Holmes Norton,GO27,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115453,GO24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115454,"Thursday, March 9, 2023"
 Harold Rogers,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115403,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115434,"Thursday, March 9, 2023"
 Mario Diaz-Balart,AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115403,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115434,"Thursday, March 9, 2023"
" Charles J. ""Chuck"" Fleischmann",AP02,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115403,AP04,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115434,"Thursday, March 9, 2023"
 Andrew S. Clyde,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115425,AP19,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115500,"Thursday, March 23, 2023"
 Andrew S. Clyde,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115425,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,"Thursday, March 23, 2023"
 Jake LaTurner,AP24,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115425,AP07,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=115507,"Thursday, March 23, 2023"
